clcronje@service0 023_tarefa]$ cat 023*out
Iniciando simulação CUDA 3D com perfilamento NSYS...
[CUDA] Passo  191 | Valor central: 89.21391114 | Tempo: 0.001242 s
[CUDA] Passo  192 | Valor central: 89.16141096 | Tempo: 0.001258 s
[CUDA] Passo  193 | Valor central: 89.10894702 | Tempo: 0.001243 s
[CUDA] Passo  194 | Valor central: 89.05651930 | Tempo: 0.001266 s
[CUDA] Passo  195 | Valor central: 89.00412777 | Tempo: 0.001242 s
[CUDA] Passo  196 | Valor central: 88.95177240 | Tempo: 0.001256 s
[CUDA] Passo  197 | Valor central: 88.89945316 | Tempo: 0.001241 s
[CUDA] Passo  198 | Valor central: 88.84717003 | Tempo: 0.001255 s
[CUDA] Passo  199 | Valor central: 88.79492298 | Tempo: 0.001241 s
[CUDA] Passo  200 | Valor central: 88.74271198 | Tempo: 0.001254 s
[CUDA] Passo  201 | Valor central: 88.69053701 | Tempo: 0.001240 s
[CUDA] Passo  202 | Valor central: 88.63839803 | Tempo: 0.001258 s
[CUDA] Passo  203 | Valor central: 88.58629503 | Tempo: 0.001240 s
[CUDA] Passo  204 | Valor central: 88.53422796 | Tempo: 0.001260 s
[CUDA] Passo  205 | Valor central: 88.48219681 | Tempo: 0.001244 s
[CUDA] Passo  206 | Valor central: 88.43020154 | Tempo: 0.001258 s
[CUDA] Passo  207 | Valor central: 88.37824214 | Tempo: 0.001235 s
[CUDA] Passo  208 | Valor central: 88.32631857 | Tempo: 0.001261 s
[CUDA] Passo  209 | Valor central: 88.27443080 | Tempo: 0.001243 s
[CUDA] Passo  210 | Valor central: 88.22257881 | Tempo: 0.001259 s
[CUDA] Passo  211 | Valor central: 88.17076257 | Tempo: 0.001244 s
[CUDA] Passo  212 | Valor central: 88.11898206 | Tempo: 0.001263 s
[CUDA] Passo  213 | Valor central: 88.06723724 | Tempo: 0.001238 s
[CUDA] Passo  214 | Valor central: 88.01552809 | Tempo: 0.001260 s
[CUDA] Passo  215 | Valor central: 87.96385458 | Tempo: 0.001243 s
[CUDA] Passo  216 | Valor central: 87.91221669 | Tempo: 0.001260 s
[CUDA] Passo  217 | Valor central: 87.86061438 | Tempo: 0.001242 s
[CUDA] Passo  218 | Valor central: 87.80904763 | Tempo: 0.001259 s
[CUDA] Passo  219 | Valor central: 87.75751642 | Tempo: 0.001238 s
[CUDA] Passo  220 | Valor central: 87.70602071 | Tempo: 0.001258 s
[CUDA] Passo  221 | Valor central: 87.65456048 | Tempo: 0.001245 s
